StoreID,StoreName,AreaCode
S00339198,B P STORE,710006
S00339204,MONAJ STORE,710006
S00339215,ZARDA HOUSE,710006
S00339218,BHARAT STORE,710006
S00339221,BASANA PAN GHAR,710006
S00339230,BHAGWANDAS RADHESHYAM,710006
S00339237,SURUCHI,710006
S00339240,NEW VERITY STORE,710006
S00339241,ASOKE HOTEL,710006
S00339243,NIRMAL PAN GHAR,710006
S00339250,ANJALI BHANDAR,710006
S00339251,MONOHARI BIPANI,710006
S00339254,BAISAKHI VERITY AND CATERER,710006
S00339257,MAA LAXMI BHANDAR,710006
S00339258,BABA LOKNATH SWEET,710006
S00339259,GANESH PRASAD,710006
S00339264,BELA BEKARY,710006
S00339265,RADHA GOBIND BHANDAR,710006
S00339267,AJAY PAN GHAR,710006
S00339270,BIPUL PAN GHAR,710006
S00339273,MONOROMA COMMUNICATION,710006
S00339276,MONISHA TEA STOLL,710006
S00339278,SOROJONI STORE,710006
S00339280,KAMALA STORE,710006
S00339281,PRABHU TELECOM,710006
S00339284,SRI GURU LAXMI BHANDAR,710006
S00339285,MOUCHAK SWEETS,710006
S00339287,TRIPTI FAST FOOD,710006
S00339288,MOHIT VARIETY,710006
S00339289,SRI SANKAR STORE,710006
S00339293,BISWASH  SONS,710006
S00339294,RADHA BALLAB STORE,710006
S00339296,SARKAR STORE,710006
S00339300,DHANLAXMI BHANDAR,710006
S00339301,MATRI BHANDAR,710006
S00339308,BASUDEV STORE,710006
S00339314,Kamna Store,710006
S00339317,Himul titly,710006
S00339318,MS GANDHESWARI ENTERPRISE,710006
S00339319,Devnath bhandar,710006
S00339322,Kundu bandar,710006
S00339323,Mohit trali like,710006
S00339332,ASHOK KUMAR PAUL,710006
S00339334,Kundu pan ghar,710006
S00339335,Manoka store,710006
S00339337,ANJALI BHANDARS,710006
S00339338,jyostna mayee store,710006
S00339343,Disha stores,710006
S00339348,The green music,710006
S00339350,Shiv bhandar,710006
S00339356,Love   Fine,710006
S00339357,T K Joy,710006
S00339358,Sima store,710006
S00339359,LOKNATH BHANDER,710006
S00339362,Banty shoppe,710006
S00339363,neeccssity enterprises,710006
S00339364,S  communication,710006
S00339365,poddar stores,710006
S00339368,SWARNO BHANDAR,710006
S00339371,nigam store,710006
S00339372,ANKUR PAN GHAR,710006
S00339375,PAUL VAREITY STORE,710006
S00339376,RENUKA BHANDER,710006
S00339377,PITRIMATRI GENERAL STORE,710006
S00339382,PRIYA BHANDER,710006
S00339384,Bhai bhai pan ghar,710006
S00339387,Netaji store,710006
S00339388,Haldar stores,710006
S00339389,JOYGURU BHANDER,710006
S00339390,Ghash bhandar,710006
S00339392,LOKENATH COMMUNICATION,710006
S00339394,Parna stores,710006
S00339395,New Basck stores,710006
S00339396,RAI BHANDER,710006
S00339400,SHREOSHI and SHOHELI VARITY STORE,710006
S00339405,BHARATI ENTERPRISE,710006
S00339406,NEW GANDESHARI STORE,710006
S00339409,Pal bhandar,710006
S00339410,Baba loknath enterprises,710006
S00339412,manju verity store,710006
S00339414,BABA LOKNATH BHANDER,710006
S00339418,sucharu store,710006
S00339420,RENU COMMUNICATION,710006
S00339421,SRI GANESH UDYOG,710006
S00339427,KAR VARIETY STORE,710006
S00339429,SRI MAA STORE,710006
S00339430,SABITRI BHANDAR,710006
S00339433,LOKNATH STORE,710006
S00339434,RUBY VARIETY,710006
S00339441,PANCHAMAKHI BHANDAR,710006
S00339444,P P DEPARTMANTEL STORE,710006
S00339445,OLIS STORE,710006
S00339446,GITA TRADERS,710006
S00339451,SANIA STORE,710006
S00339452,BALAJI STORES,710006
S00339454,MOBILE THEATRE,710006
S00339456,PAUL COMMUNICTION,710006
S00339457,GITANJALI G STORE,710006
S00339460,JAI PAHARIMATA BHANDER,710006
S00339470,SAHA STORES,710006
S00339472,MANOJ PAN GHAR,710006
S00339476,VIRAT TELECOME,710006
S00339477,DUTTA VARITY STORE,710006
S00339490,MALLICK STORE,710006
S00339491,DAS STORES,710006
S00339492,BANIK STORE,710006
S00339493,RIMPA STORE,710006
S00339497,LOKNATH BHANDARS,710006
S00339501,MATRI BHANDARS,710006
S00339503,RAJ BHANDAR,710006
S00339526,SRI RAM PAN GHAR,710006
S00339581,JOYTI STORE,710006
S00339589,POPULAR STORE,710006
S00339594,BINA STORE,710006
S00339606,RAJ STORE,710006
S00339611,BALARAM GIFT HOUSE,710006
S00339614,MAA MANASHA BHANDAR,710006
S00339618,TAPASH PAN GHAR,710006
S00339642,P K SAHA,710006
S00339647,MAHAKALI STORE,710006
S00339649,GHOSH VARIETY STORES,710006
S00339657,GOPAL PAN GHAR,710006
S00339669,SANJAY RETAIL,710006
S00339710,BINITA STORES,710006
S00339713,JOYGURU BHANDERS,710006
S00339714,BABA LOKNATH DURBHAS KENDRA,710006
S00339717,H B ENTERPRISE,710006
S00339720,ASHIRBAD,710006
S00339724,PROVA RANI STORES,710006
S00339726,NABA LAXMI BHANDER,710006
S00339731,SARADAMONI BHANDER,710006
S00339732,N PAL CHOWDHURY,710006
S00339733,R C ENTERPRISE,710006
S00339739,GOPAL STORE,710006
S00339743,DILIP PAN GHARS,710006
S00339744,DHAKA STORES,710006
S00339745,NEPAL PAN GHAR,710006
S00339746,ARUN PAN GHAR,710006
S00339748,PRADIP BHANDER,710006
S00339749,ROY BROTHERS,710006
S00339751,MA TARA VARIETY STORES,710006
S00339752,PAUL BROTHERS,710006
S00339754,PAUL BHANDER,710006
S00339757,THAPA TELECOM,710006
S00339760,SYAMOLI VARITY STORE,710006
S00339761,LAXMI NARAYAN BHANDER,710006
S00339762,NEW VARIETY STORES,710006
S00339767,SADHANA STORES,710006
S00339768,AGNIBINA GROCERY STORES,710006
S00339769,GOPAL BHANDER,710006
S00339770,DIPAK BHANDER,710006
S00339771,MA DURGA STORES,710006
S00339772,PURNIMA BHANDER,710006
S00339774,RAM KRISHNA BHANDER,710006
S00339775,SHREE MANO TRADERS,710006
S00339777,PAUL STORES,710006
S00339778,VISHNU STORES,710006
S00339779,TAPAN PAN GHAR,710006
S00339780,BANGLA STORES,710006
S00339781,ASHIM BHANDER,710006
S00339788,GITANJALI STORES,710006
S00339791,GANESH BHANDER,710006
S00339795,JAY SHREE BHANDAR,710006
S00339796,GANESH PAN GHAR,710006
S00339798,RAHUL STORES,710006
S00339799,APOLO SAHA,710006
S00339800,COMILLA STORES,710006
S00339803,FOTICK STORE,710006
S00339804,PAUL STATIONERY,710006
S00339805,SEN STORES,710006
S00339806,D S PAN SHOP,710006
S00339808,SAGAR PAN SHOP,710006
S00339809,DATTA PAN GHAR,710006
S00339810,BIDHAN PAN GHAR,710006
S00339812,SATYAM,710006
S00339820,LOVE N FAIR,710006
S00339822,SUNNY,710006
S00339839,PANDIT HOTEL,710006
S00339840,SURABHI BEKARY,710006
S00339848,KHAN STORE,710006
S00339860,SAHA STORE,710006
S00339862,BISHNU STORE,710006
S00339866,KHOKHON PAN GHAR,710006
S00339874,NEW STYLE PAN GHAR,710006
S00339885,PIYALI PAN GHAR,710006
S00339893,ANIL BHANDAR,710006
S00339910,SHUBHU PAN GHAR,710006
S00339915,DILIP BHANDAR,710006
S00339933,PODDAR BHANDAR,710006
S00339945,MADHU MANDOL,710006
S00339972,DUTTA PAN GHAR,710006
S00339981,SHREE MAA STORE,710006
S00339983,PAWAN STORE,710006
S00340009,RIKTAAS VARIETIES,710006
S00340012,CHOUDHURY STORE,710006
S00340018,DISHYA STORE,710006
S00340021,RADHA STORE,710006
S00340033,JAYANTI PAN GHAR,710006
S00340035,PANDIT PAN GHAR,710006
S00340037,PAUL MISTHAN,710006
S00340039,SUMITRA STORE,710006
S00340041,MATHU PAN GHAR,710006
S00340042,RABI PAN GHAR,710006
S00340060,SUSANTO PAN GHAR,710006
S00340074,SUNIL PAN GHAR,710006
S00340091,MAJUMDAR PAN GHAR,710006
S00340094,RAY BEKARY,710006
S00340095,AMRIT STORE,710006
S00340102,UAJAL STORE,710006
S00340107,MAA PAN GHAR,710006
S00340109,UMA STORE,710006
S00340111,SRI VARIETY STORE,710006
S00340113,SANDHA STORE,710006
S00340114,KANCHANJANGHA FOODS,710006
S00340116,R KARMAKAR,710006
S00340118,SRI RAM BHANDAR,710006
S00340120,KRISHNA STORE,710006
S00340121,AMAN STORE,710006
S00340122,BISWAS VARIETY,710006
S00340125,ROY GROCARY SHOP,710006
S00340126,BANICK STORE,710006
S00340129,GUPTA STORE 2,710006
S00340131,THIS  THAT,710006
S00340132,BHOMICK STORE,710006
S00340133,NEW BASANTI STORE,710006
S00340136,BASANTI STORE 2,710006
S00340137,NAYAN BHANDAR,710006
S00340139,DAS PAN GHAR,710006
S00340141,TAPAN STORE,710006
S00340142,SEMAA STORE,710006
S00340145,N C PAUL,710006
S00340150,KAMALA BHANDAR,710006
S00340153,PROVAT BHANDAR,710006
S00340154,KAMAL DEY,710006
S00340155,SANKAR PAN GHAR,710006
S00340158,STAR PAN GHAR,710006
S00340170,DEY CHOWDHURY,710006
S00340171,RABI PAN GHARS,710006
S00340172,PUNJAB MOTORS,710006
S00340173,BASU PAN GHAR,710006
S00340178,FOOD  SNACKES,710006
S00340179,ROY STORES,710006
S00340181,LAXMI PAN GHAR,710006
S00340191,RAJDEEP STORE,710006
S00340196,PAUL PAN GHAR,710006
S00039650,G M PROV STORE,700029
S00039655,BARKERY HUT,700029
S00039659,PINE PLACE,700029
S00039672,HOME NEED BAKERY,700029
S00039679,DAR P S,700029
S00039690,BURHAN P S,700029
S00039691,FEROZ DAR P S,700029
S00039692,RATHER PRO STORE,700029
S00039693,DAR AND SONS,700029
S00340205,DIWAR PAN GHAR,710006
